i,v
15357,0.7950587070543446
277952,0.199664017398543
309242,0.003994120331468955
248216,0.00027744247206043824
480498,4.010057840153264e-05
323144,3.406344484081013e-05
434908,1.3467516295846962e-05
243719,5.216038991388814e-06
500224,4.348103456690443e-06
366713,3.2126992212140793e-06
230147,3.186543353938835e-06
479834,3.174523634778761e-06
395346,2.930215854641442e-06
1110,2.87047665243722e-06
233030,2.67081354346589e-06
238132,2.4492274251295084e-06
500371,2.4447150388667563e-06
2755,2.4051018780468446e-06
8447,2.399471378373853e-06
2759,2.3967160274700487e-06
283144,2.2841060340102185e-06
290144,2.1355966135573437e-06
326040,2.1315634187561227e-06
13640,2.1201426889229628e-06
425967,2.089993559468292e-06
343622,2.0872781411862817e-06
758919,2.0716644860647236e-06
250874,2.06807055010324e-06
350587,2.053535075770127e-06
783927,1.990321735469804e-06
335852,1.9395274405474978e-06
411061,1.9305026680219936e-06
12048,1.9169655092337376e-06
404491,1.861658828048679e-06
420229,1.8283550214722612e-06
5406,1.8255597379466628e-06
500738,1.81945004681214e-06
10144,1.8088679020366596e-06
289659,1.7877435451074929e-06
501087,1.7327563248967886e-06
349775,1.7095954042561143e-06
344203,1.7016088798972612e-06
268977,1.6724979986092412e-06
502438,1.6699822434362024e-06
8156,1.6092846583089182e-06
322662,1.601417931815448e-06
247143,1.5525803353610606e-06
785957,1.5265043333294048e-06
785819,1.5108108129642583e-06
281836,1.5082551251694254e-06
406157,1.4908445020671255e-06
403619,1.4670446594777429e-06
309758,1.4597369896893923e-06
17356,1.4592977308496553e-06
1297,1.4575406954907075e-06
404871,1.4431649516447719e-06
8152,1.440489465984556e-06
286367,1.4348589663115646e-06
18763,1.4255147328117062e-06
278239,1.4247959456194095e-06
409701,1.4224798535553421e-06
214598,1.4077846487350521e-06
785719,1.3986001457223711e-06
323251,1.3904139582545466e-06
7941,1.3625409882421488e-06
307486,1.3343884898771913e-06
507309,1.3264418981401324e-06
3305,1.323966075588888e-06
237884,1.3195734871915187e-06
649020,1.3166584058005372e-06
4840,1.307753431140416e-06
785825,1.2745294898075866e-06
278406,1.270975486467897e-06
290093,1.254163852692511e-06
785754,1.2512487713015297e-06
244479,1.2491722749682277e-06
353819,1.2483336899105482e-06
15776,1.2363139707504741e-06
285998,1.2264106805454962e-06
590111,1.2000152175394865e-06
792485,1.1880354310012066e-06
502325,1.1684285137002221e-06
287372,1.1602423262323976e-06
243300,1.1495803162133286e-06
337090,1.1252613495406206e-06
327165,1.1247022928355009e-06
11632,1.105055442912722e-06
323070,1.1050155102909276e-06
285462,1.1025796203614775e-06
381369,1.0933152521052077e-06
307834,1.0880042134065705e-06
785885,1.0778613274708267e-06
444067,1.072789884502955e-06
406815,1.0714721079837442e-06
348539,1.0711925796311845e-06
368021,1.0685170939709686e-06
434064,1.0620480092402975e-06
781937,1.0550198678045066e-06
351855,1.049509165996898e-06
453989,1.0404843934713938e-06
407704,1.0349736916637852e-06
418383,1.032857262708689e-06
508756,1.031060294727947e-06
229878,1.0299022486959134e-06
291327,1.0231137029908883e-06
326487,1.0205580151960552e-06
343942,1.0154865722281833e-06
420657,1.0026682006322241e-06
22761,9.93962889081074e-07
231354,9.929645735362174e-07
340986,9.825820918697083e-07
631749,9.764724007351856e-07
533082,9.705623727096342e-07
318986,9.690848657032464e-07
21829,9.633745007866664e-07
248389,9.591017102546798e-07
516028,9.58502720927766e-07
196387,9.550285828316647e-07
422759,9.541500651521908e-07
322602,9.529121538765686e-07
16520,9.485994307227879e-07
314606,9.441269770818302e-07
229028,9.441269770818302e-07
418671,9.405729737421405e-07
785645,9.326663146268758e-07
383080,9.248395207551997e-07
499891,9.226831591783093e-07
294300,9.184503012681172e-07
19105,9.17531850966849e-07
377864,9.172123899924949e-07
16595,9.144969717104848e-07
504678,9.111026988579722e-07
396088,9.101842485567041e-07
401874,9.017185327363197e-07
429539,9.015987348709369e-07
21147,8.999215647555777e-07
378541,8.99522238537635e-07
295684,8.971262812299791e-07
15983,8.967269550120364e-07
410948,8.922145687492844e-07
263574,8.886206327878004e-07
337717,8.837488529289e-07
786543,8.785176794738512e-07
19323,8.781183532559085e-07
316097,8.76401250518755e-07
786400,8.752032718649271e-07
192702,8.70690885602175e-07
404330,8.704512898714095e-07
4327,8.692533112175814e-07
294370,8.685744566470789e-07
499388,8.6062786491002e-07
364017,8.579124466280099e-07
435513,8.569939963267418e-07
246702,8.530007341473152e-07
210628,8.529208689037267e-07
291084,8.407813518782698e-07
328041,8.376266747565228e-07
414955,8.323555686796797e-07
499373,8.278032497951334e-07
3635,8.266452037630996e-07
445864,8.265254058977168e-07
611,8.242492464554437e-07
497899,8.222526153657304e-07
16617,8.190979382439835e-07
409573,8.108718181543646e-07
338874,8.02525900199363e-07
297057,7.970551310135485e-07
648887,7.954178935199837e-07
786613,7.953380282763951e-07
792522,7.920236206674711e-07
211535,7.848756813662975e-07
2904,7.838773658214408e-07
13833,7.793649795586888e-07
194410,7.782867987702436e-07
484541,7.778874725523009e-07
358718,7.775680115779468e-07
351598,7.768891570074442e-07
423235,7.735747493985202e-07
14260,7.656281576614613e-07
302556,7.632322003538053e-07
221310,7.625932784050971e-07
384428,7.586000162256704e-07
390810,7.575218354372253e-07
305150,7.500544351616975e-07
335925,7.489762543732524e-07
221501,7.473789495014817e-07
416304,7.451427226810029e-07
4163,7.451027900592086e-07
303073,7.447433964630602e-07
251960,7.446635312194716e-07
379740,7.43665215674615e-07
198116,7.385937727067432e-07
234616,7.357984891811446e-07
239748,7.307669788350671e-07
357962,7.274925038479373e-07
230238,7.270931776299946e-07
336323,7.269733797646119e-07
423214,7.244975572133673e-07
401235,7.232197133159509e-07
2745,7.200251035724095e-07
403517,7.155127173096575e-07
221326,7.138355471942983e-07
19343,7.134362209763556e-07
269694,7.083647780084839e-07
8276,7.078855865469527e-07
325293,7.073664624636273e-07
419144,7.056892923482681e-07
311933,7.051701682649426e-07
216736,7.017359627906357e-07
500428,7.014564344380759e-07
453804,7.012168387073102e-07
217699,6.956262716561131e-07
12738,6.949074844638162e-07
291686,6.926313250215431e-07
11782,6.863219707780491e-07
248142,6.838062156050103e-07
17137,6.83606552496039e-07
281676,6.831672936563021e-07
6741,6.815699887845314e-07
292506,6.813303930537658e-07
338870,6.810907973230002e-07
421216,6.758995564897457e-07
477292,6.689512802975434e-07
377555,6.674338406693613e-07
425675,6.663556598809161e-07
503182,6.630811848937863e-07
420974,6.606852275861304e-07
288578,6.600463056374221e-07
13874,6.594073836887138e-07
351670,6.570114263810579e-07
266782,6.568117632720866e-07
419042,6.552144584003158e-07
6806,6.524990401183058e-07
451246,6.519799160349804e-07
513471,6.494242282401474e-07
14191,6.477869907465825e-07
4910,6.472279340414627e-07
249332,6.468286078235201e-07
249958,6.451514377081608e-07
493859,6.404393883364374e-07
340014,6.368853849967478e-07
686665,6.363662609134224e-07
474917,6.330917859262925e-07
296315,6.323330661122015e-07
508575,6.318538746506703e-07
391793,6.296575804519857e-07
297066,6.288988606378946e-07
302913,6.285793996635405e-07
420930,6.266227011956215e-07
412843,6.181569853752371e-07
784277,6.158808259329639e-07
17324,6.157610280675811e-07
307988,6.157210954457868e-07
271601,6.148026451445187e-07
7418,6.131654076509538e-07
15997,6.126462835676284e-07
599888,6.109691134522693e-07
1265,6.079741668176993e-07
407705,6.077345710869337e-07
462351,6.057778726190146e-07
20118,6.001873055678174e-07
308410,5.99827911971669e-07
665530,5.991091247793722e-07
762980,5.989893269139895e-07
354795,5.938380187025291e-07
389486,5.933987598627922e-07
677257,5.92919568401261e-07
237205,5.908430720679591e-07
362962,5.882873842731261e-07
376224,5.881675864077433e-07
248446,5.87808192811595e-07
407021,5.870894056192981e-07
308536,5.857316964782931e-07
217780,5.85571965991116e-07
307568,5.80300859914273e-07
211693,5.791827465040335e-07
260770,5.790230160168564e-07
228218,5.789032181514736e-07
319035,5.767468565745833e-07
253069,5.759881367604923e-07
500824,5.755888105425496e-07
4567,5.744706971323101e-07
361239,5.742710340233388e-07
6903,5.736720446964248e-07
434135,5.728334596387452e-07
293102,5.722744029336255e-07
439999,5.699583108695581e-07
754,5.683210733759932e-07
480036,5.673227578311365e-07
19328,5.651264636324519e-07
506483,5.639284849786239e-07
475488,5.636888892478583e-07
406493,5.630499672991501e-07
3372,5.616123929145565e-07
381009,5.607738078568769e-07
393986,5.588969746325464e-07
406881,5.568204782992445e-07
335469,5.527872834980237e-07
439396,5.514695069788129e-07
418735,5.504711914339563e-07
298503,5.479554362609175e-07
395131,5.477557731519462e-07
1606,5.46517861876324e-07
416294,5.459588051712042e-07
286958,5.451601527353189e-07
308045,5.405679012289783e-07
12626,5.402484402546242e-07
245124,5.399289792802701e-07
324915,5.364548411841689e-07
481581,5.321021854085939e-07
509624,5.302652848060577e-07
502052,5.289874409086412e-07
2990,5.268310793317508e-07
333932,5.263918204920139e-07
7258,5.259126290304827e-07
6373,5.243951894023007e-07
407655,5.237962000753866e-07
357745,5.232770759920612e-07
345861,5.20401927222874e-07
11528,5.20401927222874e-07
281290,5.203220619792855e-07
472949,5.202022641139027e-07
129,5.201623314921084e-07
403020,5.200425336267256e-07
307159,5.19962668383137e-07
584076,5.191240833254575e-07
13049,5.191240833254575e-07
330083,5.183653635113664e-07
347272,5.182455656459836e-07
460229,5.180459025370123e-07
269476,5.178861720498353e-07
16629,5.169677217485672e-07
1689,5.143721013319398e-07
397290,5.130143921909348e-07
508900,5.127747964601692e-07
333821,5.126949312165807e-07
309043,5.126549985947864e-07
267671,5.112972894537814e-07
267763,5.112972894537814e-07
436449,5.110576937230158e-07
348440,5.109778284794272e-07
352435,5.092207931204795e-07
11299,5.091009952550967e-07
452029,5.087416016589484e-07
14988,5.083023428192114e-07
436577,5.07942949223063e-07
401491,5.06145981242321e-07
363961,5.051476656974644e-07
453879,5.038698218000479e-07
378503,5.024721800372486e-07
214447,5.015537297359804e-07
412192,5.014339318705976e-07
375831,5.011943361398321e-07
217494,5.007151446783009e-07
321969,5.005154815693295e-07
500880,5.001960205949755e-07
788231,4.997168291334442e-07
278085,4.995970312680614e-07
227188,4.989581093193532e-07
296687,4.979597937744965e-07
4282,4.978399959091137e-07
394357,4.959631626847832e-07
508096,4.952044428706922e-07
2802,4.944057904348069e-07
433433,4.926487550758592e-07
13994,4.88575627652844e-07
279247,4.87217918511839e-07
16740,4.86778659672102e-07
411955,4.862595355887766e-07
283234,4.860598724798053e-07
289952,4.849417590695658e-07
4407,4.835840499285608e-07
401743,4.831847237106181e-07
419741,4.817471493260246e-07
786514,4.791914615311916e-07
412772,4.785525395824833e-07
386252,4.783928090953063e-07
490475,4.777938197683922e-07
429262,4.773146283068611e-07
418270,4.7459921002485096e-07
244367,4.735210292364058e-07
378430,4.7320156826205166e-07
500789,4.7200358960822364e-07
436648,4.717240612556638e-07
426045,4.7140460028130966e-07
17999,4.690086429736537e-07
216548,4.6884891248647663e-07
226538,4.681700579159741e-07
15846,4.675710685890601e-07
440473,4.675311359672659e-07
13536,4.6673248353138057e-07
421198,4.6413686311475325e-07
216522,4.637375368968106e-07
443198,4.6321841281348515e-07
14910,4.626593561083654e-07
301657,4.59744274717384e-07
12990,4.589456222814987e-07
330807,4.581469698456134e-07
236581,4.5794730673664207e-07
452094,4.568291933264026e-07
318213,4.561104061341058e-07
488178,4.5567114729436887e-07
350698,4.5551141680719183e-07
407121,4.5535168632001475e-07
423036,4.542335729097753e-07
375536,4.5335505523030147e-07
376177,4.532352573649187e-07
214825,4.505997043264971e-07
385955,4.4888260158934365e-07
308564,4.488426689675494e-07
330408,4.4640677903809917e-07
459233,4.4624704855092214e-07
493745,4.4576785708939094e-07
13803,4.455282613586253e-07
355110,4.45328598249654e-07
441956,4.433319671599407e-07
328854,4.4309237142917513e-07
269775,4.416947296663758e-07
7637,4.4057661625613636e-07
310124,4.396980985766625e-07
211734,4.392588397369256e-07
2252,4.3913904187154276e-07
273147,4.3838032205745175e-07
318982,4.3694274767285815e-07
512175,4.369028150510639e-07
277792,4.363038257241499e-07
493739,4.359444321280015e-07
265298,4.3470652085237924e-07
332133,4.34067598903671e-07
406432,4.335484748203455e-07
15513,4.3223069830113476e-07
312316,4.31671641596015e-07
12,4.3159177635242653e-07
491656,4.2827736874350244e-07
470188,4.2755858155120567e-07
477435,4.2743878368582283e-07
343056,4.2731898582044005e-07
503683,4.267998617371146e-07
403398,4.264404681409662e-07
14461,4.2608107454481783e-07
277313,4.247233654038128e-07
349252,4.238049151025446e-07
8405,4.236052519935733e-07
265418,4.231659931538364e-07
441555,4.223673407179511e-07
470886,4.2148882303847723e-07
323631,4.2100963157694603e-07
291140,4.2077003584618046e-07
491783,4.2005124865388363e-07
449264,4.1949219194876395e-07
506036,4.1789488707699327e-07
435144,4.173757629936678e-07
10439,4.1601805385266277e-07
248111,4.157784581218972e-07
267775,4.1430095111550936e-07
389059,4.1162546545529355e-07
14351,4.1050735204505407e-07
497738,4.104674194232598e-07
486876,4.1030768893608274e-07
3115,4.099083627181401e-07
10857,4.0970869960916876e-07
276001,4.0751240541048415e-07
297636,4.0751240541048415e-07
190218,4.069932813271587e-07
281289,4.0687348346177586e-07
339108,4.0595503316050777e-07
420554,4.05395976455388e-07
227242,4.0467718926309125e-07
256678,4.045973240195027e-07
500918,4.0435772828873714e-07
273442,4.041181325579715e-07
427275,4.0403826731438297e-07
342554,4.031996822567034e-07
436782,4.0280035603876076e-07
447233,4.009634554362245e-07
297256,4.0056412921828185e-07
330471,4.0024466824392774e-07
268597,3.998852746477793e-07
199347,3.997255441606023e-07
396484,3.99685611538808e-07
787423,3.9932621794265964e-07
661325,3.9932621794265964e-07
786429,3.9932621794265964e-07
786357,3.9932621794265964e-07
9595,3.9932621794265964e-07
785889,3.9932621794265964e-07
272405,3.9932621794265964e-07
296207,3.9868729599395135e-07
221578,3.982879697760087e-07
374660,3.9800844142344883e-07
447595,3.9760911520550617e-07
392106,3.970101258785922e-07
792568,3.9601181033373555e-07
268412,3.958121472247642e-07
258140,3.9541282100682156e-07
491507,3.9537288838502726e-07
288577,3.9493362954529036e-07
247018,3.9425477497478784e-07
